tipo,precio,area,habitaciones,baños,parqueaderos,nombre,latitud,longitud,url,espacios,axe,axh,axa,parq2,garaje_bin,ppmc,pppz,pppp,new_index,pppp/pppz,pppp/ppmc,pppz/ppmc,barrio_te
apartamento,1390000000,134.5,2,3,2,la florida,6.202737636,-75.562429369,https://www.metrocuadrado.com/inmueble/venta-apartamento-medellin-la-florida-2-habitaciones-3-banos-2-garajes/12475-M6230412,7,19.214285714285715,67.25,18090.25,4,1,7710113.01686063,169905531.09072375,676633258.4573748,51.661230236847686,3.9824086603518265,87.75918809201623,22.036710839279646,21.00241302505602
apartamento,3550000000,303.0,3,4,3,las lomas no.1,6.21198769,-75.56257282,https://www.metrocuadrado.com/inmueble/venta-apartamento-medellin-las-lomas-no.1-3-habitaciones-4-banos-3-garajes/12475-M5323470,10,30.3,101.0,91809.0,9,1,8215716.524453497,176623120.72892937,708105479.4520547,55.04900148704765,4.0091324200913245,86.18913242009131,21.49820045558086,21.003660819523347
apartamento,1055000000,107.25,3,3,2,la castellana,6.243334770202637,-75.60614776611328,https://www.metrocuadrado.com/inmueble/venta-apartamento-medellin-la-castellana-3-habitaciones-3-banos-2-garajes/17778-M6296501,8,13.40625,35.75,11502.5625,4,1,5980548.623404115,125360248.44720496,813830645.1612903,40.07236971762892,6.491935483870968,136.07959677419353,20.961329192546582,20.527000336334403
apartamento,3000000000,260.0,3,5,3,santa fe,6.2224731574,-75.5839204788,https://www.metrocuadrado.com/inmueble/venta-apartamento-medellin-los-balsos-3-habitaciones-5-banos-3-garajes/12383-M5967580,11,23.636363636363637,86.66666666666667,67600.0,9,1,7324423.986900295,113615000.0,757433333.3333334,49.076940002316164,6.666666666666667,103.412,15.511800000000001,20.223271915786253
apartamento,3550000000,300.0,3,4,4,el poblado,6.2075410671,-75.5681061745,https://www.metrocuadrado.com/inmueble/venta-apartamento-medellin-los-balsos-3-habitaciones-4-banos-4-garajes/12383-M5987436,11,27.272727272727273,100.0,90000.0,16,1,8456730.08050227,190236969.3174807,783091863.1164021,56.66390087723931,4.116402116402116,92.59984126984126,22.49533419023136,20.94366172688146
apartamento,590000000,75.0,3,2,1,asomadera no.1,6.22749662399292,-75.5640640258789,https://www.metrocuadrado.com/inmueble/venta-apartamento-medellin-asomadera-no2-3-habitaciones-2-banos-1-garajes/14270-M6380408,6,12.5,25.0,5625.0,1,1,6863180.422905399,104339622.64150943,529468085.10638297,45.986400356179196,5.074468085106383,77.14617021276595,15.202809224318656,20.199659672088057
apartamento,3450000000,330.0,3,4,3,los balsos no.2,6.1945845436,-75.5730591179,https://www.metrocuadrado.com/inmueble/venta-apartamento-medellin-los-balsos-3-habitaciones-4-banos-3-garajes/18157-M6024341,10,33.0,110.0,108900.0,9,1,7313540.765550054,157184938.92275575,643517826.8717948,49.004017516917585,4.094017094017094,87.98991452991451,21.49231732776618,20.954371555726844
apartamento,1190000000,155.0,3,3,2,alejandria,6.2019947542,-75.5681705475,https://www.metrocuadrado.com/inmueble/venta-apartamento-medellin-los-parra-3-habitaciones-3-banos-2-garajes/12383-M5750841,8,19.375,51.666666666666664,24025.0,4,1,7061101.707880057,152463909.7744361,602307920.7920792,47.31256211924138,3.9504950495049505,85.29942574257426,21.59208521303258,20.88207628452947
apartamento,1200000000,205.0,3,3,2,laureles,6.2442713,-75.59491,https://www.metrocuadrado.com/inmueble/venta-apartamento-medellin-laureles-3-habitaciones-3-banos-2-garajes/MC6174747,8,25.625,68.33333333333333,42025.0,4,1,6460195.111687219,127370563.38028169,634618245.6140351,43.286217246102424,4.982456140350878,98.23515151515151,19.716209987195903,20.668615533018688
apartamento,490000000,81.0,3,2,2,el diamante no.2,6.1816473,-75.574394,https://www.metrocuadrado.com/inmueble/venta-apartamento-medellin-urbanizacion-villa-linda-3-habitaciones-2-banos-2-garajes/MC2653960,7,11.571428571428571,27.0,6561.0,4,1,6938903.1868942855,145274509.80392158,617416666.6666666,46.49377698425788,4.249999999999999,88.979,20.93623529411765,20.736766307719375
apartamento,1185600000,69.85,2,2,1,santa maria de los angeles,6.188018,-75.57991,https://www.metrocuadrado.com/proyecto/olmo-del-parque/20602-C0005-01,5,13.969999999999999,34.925,4879.022499999999,1,1,7586689.421906994,143888210.3939648,608718563.8297873,50.83423655444438,4.2304964539007095,80.23507092198582,18.96587594300084,20.728009241580025
apartamento,932143814,51.03,1,2,0,lalinde,6.21311,-75.569305,https://www.metrocuadrado.com/proyecto/m-living/16771-C0011-01,3,17.01,51.03,2604.0609,0,0,8212082.744136865,164535502.8801956,659755104.6862745,55.02465352208823,4.009803921568627,80.33955882352942,20.035782396088017,20.89622396180771
apartamento,749350000,57.5,2,2,1,villa carlota,6.2200327,-75.575226,https://www.metrocuadrado.com/proyecto/river-park/16771-C0018-03,5,11.5,28.75,3306.25,1,1,9860972.513248164,143798071.89642859,735405664.4931507,66.07295771827317,5.114155251141552,74.57739726027398,14.582544642857146,20.518777670719466
apartamento,1706000000,129.0,3,3,0,villa carlota,6.2183332,-75.57276,https://www.metrocuadrado.com/proyecto/palma/17855-C0033-01,6,21.5,43.0,16641.0,0,0,9860972.513248164,143798071.89642859,735405664.4931507,66.07295771827317,5.114155251141552,74.57739726027398,14.582544642857146,20.518777670719466
casa,2400000000,360.0,4,5,4,los naranjos,6.1976995,-75.5574673,https://www.metrocuadrado.com/inmueble/venta-casa-medellin-la-calera-4-habitaciones-5-banos-4-garajes/17267-M6444375,13,27.692307692307693,90.0,129600.0,16,1,7138176.074295598,165344669.11764705,673259730.5389222,47.82899509240857,4.07185628742515,94.31817365269463,23.163433823529413,20.949477614086128
apartamento,680000000,123.0,3,2,2,las acacias,6.2386442,-75.6007316,https://www.metrocuadrado.com/inmueble/venta-apartamento-medellin-el-nogal-3-habitaciones-2-banos-2-garajes/17267-M6432393,7,17.571428571428573,41.0,15129.0,4,1,5983838.435093684,113359145.52736983,624308823.5294118,40.094412937846194,5.507352941176471,104.3325,18.94421895861148,20.495866375084656
apartamento,295000000,50.0,2,2,0,boston,6.2460349,-75.5588395,https://www.metrocuadrado.com/inmueble/venta-apartamento-medellin-calasanz-2-habitaciones-2-banos/21417-M6474197,4,12.5,25.0,2500.0,0,0,4436783.383029188,85335335.68904594,832755172.4137931,29.728447217369,9.758620689655173,187.69344827586204,19.233604240282684,19.975003293357553
apartamento,690000000,100.0,4,3,1,laureles,6.2447428703308105,-75.5969009399414,https://www.metrocuadrado.com/inmueble/venta-apartamento-medellin-laureles-4-habitaciones-3-banos-1-garajes/21247-M6407742,8,12.5,25.0,10000.0,1,1,6460195.111687219,127370563.38028169,634618245.6140351,43.286217246102424,4.982456140350878,98.23515151515151,19.716209987195903,20.668615533018688
casa,1215687000,306.0,5,4,1,lorena,6.249024,-75.59778,https://www.metrocuadrado.com/inmueble/venta-casa-medellin-lorena-5-habitaciones-4-banos-1-garajes/MC6462549,10,30.6,61.2,93636.0,1,1,6520711.758290171,118259606.41891892,736944073.6842105,43.69170603809292,6.231578947368421,113.0158947368421,18.135996621621622,20.533172274298455
casa,1380000000,240.0,5,4,1,calasanz,6.2609158,-75.5989846,https://www.metrocuadrado.com/inmueble/venta-casa-medellin-calasanz-5-habitaciones-4-banos-1-garajes/17593-M6040387,10,24.0,48.0,57600.0,1,1,5707594.473568436,103300268.09651475,713537037.037037,38.243453961410125,6.907407407407407,125.01537037037036,18.098739946380697,20.18134398145305
apartamento,690000000,57.0,1,1,1,la aguacatala,6.1966558,-75.57525,https://www.metrocuadrado.com/inmueble/venta-apartamento-medellin-la-aguacatala-1-habitaciones-1-banos-1-garajes/MC6479488,3,19.0,57.0,3249.0,1,1,7643160.873609857,156583246.49298596,789242828.2828283,51.21262071844443,5.040404040404041,103.26131313131314,20.486713426853708,20.775065567247548
apartamento,710000000,102.0,3,3,1,rosales,6.236347675323486,-75.59375,https://www.metrocuadrado.com/inmueble/venta-apartamento-medellin-rosales-3-habitaciones-3-banos-1-garajes/12274-M6464869,7,14.571428571428571,34.0,10404.0,1,1,5672048.346321793,118842681.25854993,782648648.6486486,38.00527889708859,6.585585585585585,137.98342342342343,20.95233926128591,20.461034742818008
apartamento,940000000,92.0,2,3,2,altos del poblado,6.2172722816467285,-75.55599975585938,https://www.metrocuadrado.com/inmueble/venta-apartamento-medellin-altos-del-poblado-2-habitaciones-3-banos-2-garajes/21163-M6476936,7,13.142857142857142,46.0,8464.0,4,1,8653962.51464445,175092749.76961708,706133545.2734177,57.985447029430716,4.0329113924050635,81.59655696202532,20.23266792215945,20.991095029848776
apartamento,650000000,80.0,3,2,1,patio bonito,6.2011742,-75.5731636,https://www.metrocuadrado.com/inmueble/venta-apartamento-medellin-castropol-3-habitaciones-2-banos-1-garajes/22123-M6476855,6,13.333333333333334,26.666666666666668,6400.0,1,1,6306546.44312479,129001206.27261761,568840425.531915,42.256701955622184,4.409574468085107,90.19840425531916,20.45512665862485,20.709456046129464
apartamento,695000000,87.0,2,2,2,la loma de los bernal,6.220445156097412,-75.60543060302734,https://www.metrocuadrado.com/inmueble/venta-apartamento-medellin-loma-de-los-bernal-2-habitaciones-2-banos-2-garajes/12116-M5722110,6,14.5,43.5,7569.0,4,1,6633757.902044472,100592392.3918919,485467632.84782606,44.44916612293312,4.826086956521738,73.18139130434783,15.163711711711715,20.287651983451244
apartamento,1650000000,160.0,2,4,2,san lucas,6.177372604,-75.566088044,https://www.metrocuadrado.com/inmueble/venta-apartamento-medellin-san-lucas-2-habitaciones-4-banos-2-garajes/11976-M6120869,8,20.0,80.0,25600.0,4,1,7015939.76117399,163512395.83333334,645974897.1193416,47.009956733091485,3.9506172839506175,92.07246913580248,23.305843750000005,20.959144863995913
casa,1520000000,250.0,3,5,4,los balsos no.2,6.195840358734131,-75.57015991210938,https://www.metrocuadrado.com/inmueble/venta-casa-medellin-los-balsos-no.2-3-habitaciones-5-banos-4-garajes/687-M5136223,12,20.833333333333332,83.33333333333333,62500.0,16,1,7313540.765550054,157184938.92275575,643517826.8717948,49.004017516917585,4.094017094017094,87.98991452991451,21.49231732776618,20.954371555726844
apartamento,990000000,140.0,3,4,2,el diamante no.2,6.18823762,-75.57630213,https://www.metrocuadrado.com/inmueble/venta-apartamento-medellin-el-diamante-no.-2-3-habitaciones-4-banos-2-garajes/20852-M6099874,9,15.555555555555555,46.666666666666664,19600.0,4,1,6938903.1868942855,145274509.80392158,617416666.6666666,46.49377698425788,4.249999999999999,88.979,20.93623529411765,20.736766307719375
apartamento,1640000000,215.0,3,4,2,los balsos no.1,6.188079833984375,-75.55982208251953,https://www.metrocuadrado.com/inmueble/venta-apartamento-medellin-los-balsos-no.1-3-habitaciones-4-banos-2-garajes/687-M4269040,9,23.88888888888889,71.66666666666667,46225.0,4,1,7358340.838913989,172961071.53917623,663291330.1662707,49.30419818866918,3.8349168646080756,90.14142517814726,23.50544441003407,21.050052370150777
apartamento,1100000000,210.0,3,3,3,san lucas,6.177539825439453,-75.5631103515625,https://www.metrocuadrado.com/inmueble/venta-apartamento-medellin-san-lucas-3-habitaciones-3-banos-3-garajes/687-M2094647,9,23.333333333333332,70.0,44100.0,9,1,7015939.76117399,163512395.83333334,645974897.1193416,47.009956733091485,3.9506172839506175,92.07246913580248,23.305843750000005,20.959144863995913
