tipo,precio,area,habitaciones,baños,parqueaderos,nombre,latitud,longitud,url,espacios,axe,axh,axa,parq2,garaje_bin,ppmc,pppz,pppp,new_index,pppp/pppz,pppp/ppmc,pppz/ppmc,barrio_count,barrio_te
apartamento,7000000,200.0,3,3,0,Alejandría,6.19969,-75.56644,https://www.metrocuadrado.com/inmueble/arriendo-apartamento-medellin-medellin-3-habitaciones-3-banos/11813-M6189034,6,33.333333333333336,66.66666666666667,40000.0,0,0,50327.58429434977,956401.826755297,3908419.689303905,71.89654899192824,4.086587436332767,77.65959252971138,19.003531366846698,338,
apartamento,9500000,260.0,4,5,3,La Florida,6.204753884,-75.568948394,https://www.metrocuadrado.com/inmueble/arriendo-apartamento-medellin-la-florida-4-habitaciones-5-banos-3-garajes/16211-M6367047,12,21.666666666666668,65.0,67600.0,9,1,48641.34779170759,975568.57573474,4090298.5781990523,69.48763970243941,4.192733017377567,84.0909794628752,20.05636397889977,350,
apartamento,3700000,42.0,1,1,0,Santa María de Los Ángeles,6.18958,-75.58255,https://www.metrocuadrado.com/inmueble/arriendo-apartamento-medellin-santa-maria-de-los-angeles-1-habitaciones-1-banos/17698-M6469337,2,21.0,42.0,1764.0,0,0,50371.8176973218,855814.6766169154,3759972.6775956284,71.95973956760258,4.39344262295082,74.64437158469946,16.98995024875622,235,
apartamento,6500000,120.0,4,5,2,Santa María de Los Ángeles,6.18879,-75.5795,https://www.metrocuadrado.com/inmueble/arriendo-apartamento-medellin-santa-maria-de-los-angeles-4-habitaciones-5-banos-2-garajes/17698-M6108021,11,10.909090909090908,30.0,14400.0,4,1,50371.8176973218,855814.6766169154,3759972.6775956284,71.95973956760258,4.39344262295082,74.64437158469946,16.98995024875622,235,
apartamento,5500000,120.0,3,3,0,Patio Bonito,6.203060856,-75.575567033,https://www.metrocuadrado.com/inmueble/arriendo-apartamento-medellin-patio-bonito-3-habitaciones-3-banos/17076-M6479671,6,20.0,40.0,14400.0,0,0,44017.477033385614,752681.9923371647,3508035.714285714,62.88211004769373,4.660714285714286,79.69642857142857,17.099616858237546,162,
apartamento,2600000,80.0,3,2,1,Belén Rincón,6.21800146,-75.60706686,https://www.metrocuadrado.com/inmueble/arriendo-apartamento-medellin-loma-de-los-bernal-3-habitaciones-2-banos-1-garajes/16211-M6481677,6,13.333333333333334,26.666666666666668,6400.0,1,1,43405.40540540541,627343.75,3345833.3333333335,62.00772200772201,5.333333333333334,77.08333333333333,14.453125,12,
apartamento,7400000,180.0,3,3,2,Los Balsos No.1,6.18919,-75.56649,https://www.metrocuadrado.com/inmueble/arriendo-apartamento-medellin-el-poblado-3-habitaciones-3-banos-2-garajes/11013-M5791739,8,22.5,60.0,32400.0,4,1,52037.343937504564,1051901.7165937396,4139337.7483443706,74.33906276786367,3.9350993377483436,79.54552317880795,20.214362167620333,391,
apartamento,5200000,100.0,2,2,1,Castropol,6.21468,-75.56511,https://www.metrocuadrado.com/inmueble/arriendo-apartamento-medellin-castropol-2-habitaciones-2-banos-1-garajes/17698-M6342186,5,20.0,50.0,10000.0,1,1,51110.478136788275,812016.8067226891,3732489.270386266,73.0149687668404,4.5965665236051505,73.02786838340486,15.887482103952692,475,
apartamento,4500000,106.0,3,3,2,Castropol,6.21925,-75.56901,https://www.metrocuadrado.com/inmueble/arriendo-apartamento-medellin-castropol-3-habitaciones-3-banos-2-garajes/17698-M6311346,8,13.25,35.333333333333336,11236.0,4,1,51110.478136788275,812016.8067226891,3732489.270386266,73.0149687668404,4.5965665236051505,73.02786838340486,15.887482103952692,475,
apartamento,6300000,120.0,3,4,2,Villa Carlota,6.2200475,-75.573362,https://www.metrocuadrado.com/inmueble/arriendo-apartamento-medellin-villa-carlota-3-habitaciones-4-banos-2-garajes/17021-M6266326,9,13.333333333333334,40.0,14400.0,4,1,55077.373494113235,766566.5722379603,3656729.7297297297,78.68196213444747,4.77027027027027,66.39259459459458,13.91799433427762,296,
