barrio,barrio_1,precio,area,habitaciones,baños,parqueaderos,tipo,latitud,longitud,url
LOS BALSOS NO 1,LOS BALSOS NO1,10500000,170.0,3,5,2,Apartamento,6.18837833404541,-75.566162109375,https://www.metrocuadrado.com/inmueble/arriendo-apartamento-medellin-los-balsos-no1-3-habitaciones-5-banos-2-garajes/16981-M6465956
El Poblado,VILLA CARLOTA,7400000,140.0,3,4,2,Apartamento,6.22072838,-75.5745836,https://www.metrocuadrado.com/inmueble/arriendo-apartamento-medellin-villa-carlota-3-habitaciones-4-banos-2-garajes/17021-M6256387
El Poblado,VILLA CARLOTA,6300000,120.0,3,4,2,Apartamento,6.2200475,-75.573362,https://www.metrocuadrado.com/inmueble/arriendo-apartamento-medellin-villa-carlota-3-habitaciones-4-banos-2-garajes/17021-M6266326
Santa Maria De Los Angeles,SANTA MARIA DE LOS ANGELES,18000000,274.7,3,4,3,Apartamento,6.188174,-75.579877,https://www.metrocuadrado.com/inmueble/arriendo-apartamento-medellin-santa-maria-de-los-angeles-3-habitaciones-4-banos-3-garajes/847-M6289607
San Diego,SAN DIEGO,4000000,75.0,3,2,1,Apartamento,6.2131524749,-75.5578357696,https://www.metrocuadrado.com/inmueble/arriendo-apartamento-medellin-san-diego-3-habitaciones-2-banos-1-garajes/18714-M6384616
Las Lomas 1,LAS LOMAS 1,6800000,150.0,3,2,2,Apartamento,6.20898,-75.55984,https://www.metrocuadrado.com/inmueble/arriendo-apartamento-medellin-las-lomas-1-3-habitaciones-2-banos-2-garajes/16120-M5999830
El Poblado,EL POBLADO,9500000,180.0,2,4,2,Apartamento,6.192415,-75.571747,https://www.metrocuadrado.com/inmueble/arriendo-apartamento-medellin-el-poblado-2-habitaciones-4-banos-2-garajes/14894-M6385119
Poblado,POBLADO,14650000,365.0,4,4,3,Apartamento,6.2515025,-75.6073741,https://www.metrocuadrado.com/inmueble/arriendo-apartamento-medellin-poblado-4-habitaciones-4-banos-3-garajes/98-M5941801
Laureles,LAURELES,9500000,110.0,3,3,1,Apartamento,6.2412355,-75.5985981,https://www.metrocuadrado.com/inmueble/arriendo-apartamento-medellin-laureles-3-habitaciones-3-banos-1-garajes/17079-M6455175
EL POBLADO   Nororiente,LAS LOMAS NO  1,6500000,125.0,3,3,2,Apartamento,6.2116456,-75.56018,https://www.metrocuadrado.com/inmueble/arriendo-apartamento-medellin-las-lomas-no.-1-3-habitaciones-3-banos-2-garajes/MC6463394
Belén el Rincón,EL RINCON,2500000,73.0,3,2,1,Apartamento,6.206574,-75.60178,https://www.metrocuadrado.com/inmueble/arriendo-apartamento-medellin-el-rincon-3-habitaciones-2-banos-1-garajes/MC6470705
Laureles,LORENA,2200000,40.0,1,1,1,Apartamento,6.2468295,-75.592575,https://www.metrocuadrado.com/inmueble/arriendo-apartamento-medellin-lorena-1-habitaciones-1-banos-1-garajes/MC2781804
Medellin,MEDELLIN,21000000,450.0,5,4,2,Casa,6.2017855,-75.564912,https://www.metrocuadrado.com/inmueble/arriendo-casa-medellin-medellin-5-habitaciones-4-banos-2-garajes/11813-M6386100
EL POBLADO CASTROPOL   Nororiente,LA LINDE,4000000,100.0,2,2,1,Apartamento,6.212134,-75.56751,https://www.metrocuadrado.com/inmueble/arriendo-apartamento-medellin-la-linde-2-habitaciones-2-banos-1-garajes/MC6132687
San Diego,SAN DIEGO,3448877,70.0,3,2,1,Apartamento,6.23332,-75.56879,https://www.metrocuadrado.com/inmueble/arriendo-apartamento-medellin-san-diego-3-habitaciones-2-banos-1-garajes/11166-M6331517
Centro,CENTRO,2000000,46.0,1,1,0,Apartamento,6.25627,-75.56548,https://www.metrocuadrado.com/inmueble/arriendo-apartamento-medellin-centro-1-habitaciones-1-banos/11166-M6443869
POBLADO CIUDAD DEL RIO   Suroriente,VILLA CARLOTA,4500000,76.0,2,2,1,Apartamento,6.2244935,-75.57431,https://www.metrocuadrado.com/inmueble/arriendo-apartamento-medellin-villa-carlota-2-habitaciones-2-banos-1-garajes/MC6447696
CASTROPOL,CASTROPOL,3000000,90.0,3,2,0,Apartamento,6.2202911376953125,-75.56949615478516,https://www.metrocuadrado.com/inmueble/arriendo-apartamento-medellin-castropol-3-habitaciones-2-banos/16549-M6455076
Boston,BOSTON,1800000,48.0,2,1,0,Apartamento,6.24936,-75.56012,https://www.metrocuadrado.com/inmueble/arriendo-apartamento-medellin-boston-2-habitaciones-1-banos/11166-M5791642
LOMA DE LOS BERNAL,LOMA DE LOS BERNAL,2300000,60.0,2,1,1,Apartamento,6.21658967,-75.60115916,https://www.metrocuadrado.com/inmueble/arriendo-apartamento-medellin-loma-de-los-bernal-2-habitaciones-1-banos-1-garajes/17136-M6217122
POBLADO CIUDAD DEL RIO   Suroriente,VILLA CARLOTA,5500000,90.33,3,3,2,Apartamento,6.2207284,-75.574585,https://www.metrocuadrado.com/inmueble/arriendo-apartamento-medellin-villa-carlota-3-habitaciones-3-banos-2-garajes/MC6454682
EL POBLADO   Nororiente,ASOMADERA NO  2,5000000,78.0,2,2,1,Apartamento,6.2195516,-75.56306,https://www.metrocuadrado.com/inmueble/arriendo-apartamento-medellin-asomadera-no.-2-2-habitaciones-2-banos-1-garajes/MC6471954
EL POBLADO,LOS BALSOS NO 1,10500000,270.0,3,5,4,Casa,6.186848163604736,-75.56006622314453,https://www.metrocuadrado.com/inmueble/arriendo-casa-medellin-los-balsos-no.1-3-habitaciones-5-banos-4-garajes/687-M5056851
EL POBLADO,EL TESORO,36700000,460.0,4,5,4,Casa,6.198575496673584,-75.55679321289062,https://www.metrocuadrado.com/inmueble/arriendo-casa-medellin-el-tesoro-4-habitaciones-5-banos-4-garajes/687-M6388275
EL POBLADO,LOS BALSOS NO1,7000000,164.0,4,3,2,Casa,6.1868486404418945,-75.56002044677734,https://www.metrocuadrado.com/inmueble/arriendo-casa-medellin-los-balsos-no1-4-habitaciones-3-banos-2-garajes/687-M6388609
EL POBLADO,EL TESORO,15800000,500.0,4,5,4,Casa,6.203822135925293,-75.5547866821289,https://www.metrocuadrado.com/inmueble/arriendo-casa-medellin-el-tesoro-4-habitaciones-5-banos-4-garajes/687-M4542045
EL POBLADO,EL TESORO,4900000,186.0,3,4,2,Apartamento,6.197798728942871,-75.55308532714844,https://www.metrocuadrado.com/inmueble/venta-apartamento-medellin-el-tesoro-3-habitaciones-4-banos-2-garajes/687-M2424916
Calasanz,CALASANZ,2900000,58.0,3,2,1,Apartamento,6.2674027992,-75.6087265118,https://www.metrocuadrado.com/inmueble/arriendo-apartamento-medellin-calasanz-3-habitaciones-2-banos-1-garajes/21650-M6473275
La Calera,LA CALERA,11000000,330.0,4,4,2,Apartamento,6.2052,-75.55642,https://www.metrocuadrado.com/inmueble/arriendo-apartamento-medellin-la-calera-4-habitaciones-4-banos-2-garajes/21565-M6376780
EL POBLADO,EL TESORO,7700000,180.0,3,4,3,Apartamento,6.204034328460693,-75.55548858642578,https://www.metrocuadrado.com/inmueble/arriendo-apartamento-medellin-el-tesoro-3-habitaciones-4-banos-3-garajes/687-M6061443
EL POBLADO,EL TESORO,12900000,228.0,3,4,3,Apartamento,6.203347682952881,-75.55573272705078,https://www.metrocuadrado.com/inmueble/arriendo-apartamento-medellin-el-tesoro-3-habitaciones-4-banos-3-garajes/687-M5380156
Calasanz,CALASANZ,3200000,70.0,3,2,1,Apartamento,6.2697654449,-75.6089179005,https://www.metrocuadrado.com/inmueble/arriendo-apartamento-medellin-calasanz-3-habitaciones-2-banos-1-garajes/21650-M6473273
EL POBLADO,ALEJANDRIA,10400000,280.0,4,4,3,Casa,6.199781894683838,-75.56996154785156,https://www.metrocuadrado.com/inmueble/arriendo-casa-medellin-alejandria-4-habitaciones-4-banos-3-garajes/687-M5380176
EL POBLADO,EL TESORO,16700000,413.0,4,5,2,Apartamento,6.203347682952881,-75.55573272705078,https://www.metrocuadrado.com/inmueble/arriendo-apartamento-medellin-el-tesoro-4-habitaciones-5-banos-2-garajes/687-M5008579
EL POBLADO,EL TESORO,14300000,400.0,5,5,4,Casa,6.203789234161377,-75.5546875,https://www.metrocuadrado.com/inmueble/arriendo-casa-medellin-el-tesoro-5-habitaciones-5-banos-4-garajes/687-M4645899
SURAMERICA,SURAMERICANA,3700000,107.0,3,3,1,Apartamento,6.253666877746582,-75.58427429199219,https://www.metrocuadrado.com/inmueble/arriendo-apartamento-medellin-suramericana-3-habitaciones-3-banos-1-garajes/19861-M6389099
Poblado San Lucas,NA,20000000,330.0,3,3,3,Apartamento,0.0,0.0,https://www.metrocuadrado.com/inmueble/arriendo-apartamento-medellin-na-3-habitaciones-3-banos-3-garajes/19797-M6110302
EL POBLADO,LOS NARANJOS,8500000,162.0,3,4,3,Apartamento,6.199733734130859,-75.56306457519531,https://www.metrocuadrado.com/inmueble/arriendo-apartamento-medellin-los-naranjos-3-habitaciones-4-banos-3-garajes/687-M6388388
Poblado,POBLADO,6000000,149.0,3,5,2,Apartamento,6.21437,-75.56731,https://www.metrocuadrado.com/inmueble/arriendo-apartamento-medellin-poblado-3-habitaciones-5-banos-2-garajes/21891-M6384497
El Poblado,EL POBLADO,4550000,90.0,3,3,2,Apartamento,6.1842674051,-75.5704463937,https://www.metrocuadrado.com/inmueble/arriendo-apartamento-medellin-el-poblado-3-habitaciones-3-banos-2-garajes/21649-M6330287
EL POBLADO,LOS BALSOS NO 1,12500000,156.0,3,4,3,Apartamento,6.191193103790283,-75.56560516357422,https://www.metrocuadrado.com/inmueble/arriendo-apartamento-medellin-los-balsos-no.1-3-habitaciones-4-banos-3-garajes/687-M5380128
Calasanz,CALASANZ,3750000,77.0,3,1,1,Apartamento,6.266731,-75.6086777,https://www.metrocuadrado.com/inmueble/arriendo-apartamento-medellin-calasanz-3-habitaciones-1-banos-1-garajes/21650-M6472974
EL POBLADO,ALTOS DEL POBLADO,9900000,296.0,3,4,4,Apartamento,6.207920551300049,-75.5497817993164,https://www.metrocuadrado.com/inmueble/venta-apartamento-medellin-altos-del-poblado-3-habitaciones-4-banos-4-garajes/687-M2119596
El Poblado,EL POBLADO,14000000,225.0,4,5,2,Casa,6.2005904671,-75.5604065287,https://www.metrocuadrado.com/inmueble/arriendo-casa-medellin-el-poblado-4-habitaciones-5-banos-2-garajes/20775-M6029072
Velodromo,VELODROMO,4500000,145.0,4,3,1,Casa,6.25413,-75.59453,https://www.metrocuadrado.com/inmueble/arriendo-casa-medellin-velodromo-4-habitaciones-3-banos-1-garajes/17698-M6338744
Castropol,CASTROPOL,4500000,106.0,3,3,2,Apartamento,6.21925,-75.56901,https://www.metrocuadrado.com/inmueble/arriendo-apartamento-medellin-castropol-3-habitaciones-3-banos-2-garajes/17698-M6311346
Santa Maria De Los Angeles,SANTA MARIA DE LOS ANGELES,6500000,120.0,4,5,2,Apartamento,6.18879,-75.5795,https://www.metrocuadrado.com/inmueble/arriendo-apartamento-medellin-santa-maria-de-los-angeles-4-habitaciones-5-banos-2-garajes/17698-M6108021
LAURELES LA ALMERIA,LORENA,60000000,1460.0,,,4,Edificio de Apartamentos,6.247951984405518,-75.59370422363281,https://www.metrocuadrado.com/inmueble/arriendo-edificio-de-apartamentos-medellin-lorena-4-garajes/848-M5244001
Castropol,CASTROPOL,5200000,100.0,2,2,1,Apartamento,6.21468,-75.56511,https://www.metrocuadrado.com/inmueble/arriendo-apartamento-medellin-castropol-2-habitaciones-2-banos-1-garajes/17698-M6342186
Las Palmas,LAS PALMAS,40000000,680.0,3,5,4,Casa,6.15713,-75.55255,https://www.metrocuadrado.com/inmueble/arriendo-casa-medellin-las-palmas-3-habitaciones-5-banos-4-garajes/2671-M5965857
Loma Del Escobero,LOMA DEL ESCOBERO,9225000,270.0,3,3,4,Casa,6.137717,-75.525985,https://www.metrocuadrado.com/inmueble/arriendo-casa-medellin-loma-del-escobero-3-habitaciones-3-banos-4-garajes/2671-M6107517
Alto De Palmas,ALTO DE PALMAS,36785000,510.0,3,4,4,Casa,6.154891,-75.517273,https://www.metrocuadrado.com/inmueble/arriendo-casa-medellin-alto-de-palmas-3-habitaciones-4-banos-4-garajes/2671-M5812048
Las Palmas,LAS PALMAS,27220000,443.33,4,5,2,Casa,6.137312,-75.526199,https://www.metrocuadrado.com/inmueble/arriendo-casa-medellin-las-palmas-4-habitaciones-5-banos-2-garajes/2671-M5812014
