barrio,barrio_1,precio,area,habitaciones,baños,parqueaderos,tipo,latitud,longitud,url
SANTA MARIA DE LOS ANGELES,SANTA MARIA DE LOS ANGELES,1185600000,69.85,2,2,1,Apartamento,6.188018,-75.57991,https://www.metrocuadrado.com/proyecto/olmo-del-parque/20602-C0005-01
LALINDE,LALINDE,932143814,51.03,1,2,0,Apartamento,6.21311,-75.569305,https://www.metrocuadrado.com/proyecto/m-living/16771-C0011-01
CIUDAD DEL RÍO,CIUDAD DEL RÍO,749350000,57.5,2,2,1,Apartamento,6.2200327,-75.575226,https://www.metrocuadrado.com/proyecto/river-park/16771-C0018-03
JARDINES DEL RIO- CIUDAD EL RIO,JARDINES DEL RIO- CIUDAD EL RIO,1706000000,129.0,3,3,0,Apartamento,6.2183332,-75.57276,https://www.metrocuadrado.com/proyecto/palma/17855-C0033-01
Las Palmas,LAS PALMAS,5100000000,540.0,3,4,4,Casa,6.1949507,-75.5474952,https://www.metrocuadrado.com/inmueble/venta-casa-medellin-las-palmas-3-habitaciones-4-banos-4-garajes/17267-M6411520
Las Palmas,LAS PALMAS,4800000000,522.0,3,5,4,Casa,6.2136466,-75.5582035,https://www.metrocuadrado.com/inmueble/venta-casa-medellin-las-palmas-3-habitaciones-5-banos-4-garajes/17267-M6421180
La Calera,LA CALERA,2400000000,360.0,4,5,4,Casa,6.1976995,-75.5574673,https://www.metrocuadrado.com/inmueble/venta-casa-medellin-la-calera-4-habitaciones-5-banos-4-garajes/17267-M6444375
El Nogal,EL NOGAL,680000000,123.0,3,2,2,Apartamento,6.2386442,-75.6007316,https://www.metrocuadrado.com/inmueble/venta-apartamento-medellin-el-nogal-3-habitaciones-2-banos-2-garajes/17267-M6432393
Robledo,ROBLEDO,230000000,54.0,3,1,1,Apartamento,6.2857555,-75.6100801,https://www.metrocuadrado.com/inmueble/venta-apartamento-medellin-robledo-3-habitaciones-1-banos-1-garajes/21417-M6399827
Calasanz,CALASANZ,295000000,50.0,2,2,0,Apartamento,6.2460349,-75.5588395,https://www.metrocuadrado.com/inmueble/venta-apartamento-medellin-calasanz-2-habitaciones-2-banos/21417-M6474197
LAURELES,LAURELES,690000000,100.0,4,3,1,Apartamento,6.2447428703308105,-75.5969009399414,https://www.metrocuadrado.com/inmueble/venta-apartamento-medellin-laureles-4-habitaciones-3-banos-1-garajes/21247-M6407742
LAURELES   Suroccidente,LORENA,1215687000,306.0,5,4,1,Casa,6.249024,-75.59778,https://www.metrocuadrado.com/inmueble/venta-casa-medellin-lorena-5-habitaciones-4-banos-1-garajes/MC6462549
Calasanz,CALASANZ,1380000000,240.0,5,4,1,Casa,6.2609158,-75.5989846,https://www.metrocuadrado.com/inmueble/venta-casa-medellin-calasanz-5-habitaciones-4-banos-1-garajes/17593-M6040387
Las Palmas,LAS PALMAS,5000000000,450.0,3,4,4,Casa,6.2386625,-75.564787,https://www.metrocuadrado.com/inmueble/venta-casa-medellin-las-palmas-3-habitaciones-4-banos-4-garajes/17593-M5200150
EL POBLADO OVIEDO   Suroriente,LA AGUACATALA,690000000,57.0,1,1,1,Apartamento,6.1966558,-75.57525,https://www.metrocuadrado.com/inmueble/venta-apartamento-medellin-la-aguacatala-1-habitaciones-1-banos-1-garajes/MC6479488
BELEN ALAMEDA,ROSALES,710000000,102.0,3,3,1,Apartamento,6.236347675323486,-75.59375,https://www.metrocuadrado.com/inmueble/venta-apartamento-medellin-rosales-3-habitaciones-3-banos-1-garajes/12274-M6464869
LAURELES,LAURELES,1640000000,535.0,5,5,4,Apartamento,6.244902610778809,-75.59566497802734,https://www.metrocuadrado.com/inmueble/venta-apartamento-medellin-laureles-5-habitaciones-5-banos-4-garajes/20860-M6431012
ALTOS DEL POBLADO,ALTOS DEL POBLADO,940000000,92.0,2,3,2,Apartamento,6.2172722816467285,-75.55599975585938,https://www.metrocuadrado.com/inmueble/venta-apartamento-medellin-altos-del-poblado-2-habitaciones-3-banos-2-garajes/21163-M6476936
