barrio,precio,area,habitaciones,baños,parqueaderos,telefono,url,tipo,latitud,longitud,barrio_1
la loma de los bernal,2800000,65.0,3,2,1,6044449898,https://www.metrocuadrado.com/inmueble/arriendo-apartamento-medellin-loma-de-los-bernal-3-habitaciones-2-banos-1-garajes/4673-M6062553,Apartamento,6.21626193,-75.60008507,loma de los bernal
la aguacatala,3600000,98.0,2,3,1,3007354637,https://www.metrocuadrado.com/inmueble/arriendo-apartamento-medellin-la-aguacatala-2-habitaciones-3-banos-1-garajes/233-M5824202,Apartamento,6.19970703125,-75.57747650146484,la aguacatala
castropol,11000000,300.0,4,5,3,3005464647,https://www.metrocuadrado.com/inmueble/arriendo-apartamento-medellin-castropol-4-habitaciones-5-banos-3-garajes/16895-M5406216,Apartamento,6.21332,-75.56569,castropol
el poblado,7600000,75.0,2,2,1,6044485859,https://www.metrocuadrado.com/inmueble/arriendo-apartamento-medellin-el-diamante-no.2-2-habitaciones-2-banos-1-garajes/687-M4074885,Apartamento,6.189174652099609,-75.57585906982422,el diamante no 2
el poblado,3900000,60.0,1,2,1,6044485859,https://www.metrocuadrado.com/inmueble/arriendo-apartamento-medellin-los-balsos-no.2-1-habitaciones-2-banos-1-garajes/687-M5057041,Apartamento,6.1963605880737305,-75.56656646728516,los balsos no 2
el poblado,3750000,90.0,3,2,1,6044485859,https://www.metrocuadrado.com/inmueble/arriendo-apartamento-medellin-castropol-3-habitaciones-2-banos-1-garajes/687-M5823228,Apartamento,6.216131210327148,-75.56688690185547,castropol
laureles,5600000,225.0,4,2,1,3176350447,https://www.metrocuadrado.com/inmueble/arriendo-casa-medellin-los-pinos-4-habitaciones-2-banos-1-garajes/12116-M5504695,Casa,6.254473686218262,-75.59660339355469,los pinos
el poblado,5200000,98.0,2,2,2,6044485859,https://www.metrocuadrado.com/inmueble/arriendo-apartamento-medellin-los-balsos-no.1-2-habitaciones-2-banos-2-garajes/687-M5052840,Apartamento,6.186121940612793,-75.5579833984375,los balsos no 1
el poblado,13700000,160.0,2,3,2,6044485859,https://www.metrocuadrado.com/inmueble/arriendo-apartamento-medellin-los-naranjos-2-habitaciones-3-banos-2-garajes/687-M5191925,Apartamento,6.1951751708984375,-75.55643463134766,los naranjos
el poblado,3600000,58.0,1,2,1,6044485859,https://www.metrocuadrado.com/inmueble/arriendo-apartamento-medellin-la-linde-1-habitaciones-2-banos-1-garajes/687-M5689656,Apartamento,6.211738109588623,-75.56491088867188,la linde
el poblado,8700000,137.0,3,3,2,6044485859,https://www.metrocuadrado.com/inmueble/arriendo-apartamento-medellin-la-linde-3-habitaciones-3-banos-2-garajes/687-M4735144,Apartamento,6.212024211883545,-75.56797790527344,la linde
el poblado,3650000,62.0,1,2,1,6044485859,https://www.metrocuadrado.com/inmueble/arriendo-apartamento-medellin-alejandria-1-habitaciones-2-banos-1-garajes/687-M5578654,Apartamento,6.1985764503479,-75.57109069824219,alejandria
el poblado,4900000,123.0,3,3,1,6044485859,https://www.metrocuadrado.com/inmueble/arriendo-apartamento-medellin-el-diamante-no.2-3-habitaciones-3-banos-1-garajes/687-M5545802,Apartamento,6.182607650756836,-75.57357025146484,el diamante no 2
el poblado,13200000,298.0,4,5,2,6044485859,https://www.metrocuadrado.com/inmueble/arriendo-casa-medellin-el-poblado-alto-4-habitaciones-5-banos-2-garajes/687-M4584104,Casa,0.0,0.0,el poblado alto
laureles,2850000,85.0,3,2,1,3176350447,https://www.metrocuadrado.com/inmueble/arriendo-apartamento-medellin-san-joaquin-3-habitaciones-2-banos-1-garajes/12116-M4748875,Apartamento,6.247183799743652,-75.58544158935547,san joaquin
el poblado,22000000,2200.0,4,4,4,3159645757,https://www.metrocuadrado.com/inmueble/arriendo-casa-medellin-el-poblado-4-habitaciones-4-banos-4-garajes/19797-M5693718,Casa,6.2047423,-75.5506734,el poblado
los laureles,4400000,180.0,3,2,1,3176350447,https://www.metrocuadrado.com/inmueble/arriendo-casa-medellin-la-castellana-3-habitaciones-2-banos-1-garajes/12116-M4944532,Casa,6.240623950958252,-75.60518646240234,la castellana
el poblado,3450000,50.0,1,2,1,6044485859,https://www.metrocuadrado.com/inmueble/arriendo-apartamento-medellin-simesa-1-habitaciones-2-banos-1-garajes/687-M5742491,Apartamento,6.22007942199707,-75.5753173828125,simesa
el poblado,2650000,45.0,1,2,1,6044485859,https://www.metrocuadrado.com/inmueble/arriendo-apartamento-medellin-simesa-1-habitaciones-2-banos-1-garajes/687-M5330577,Apartamento,6.217248916625977,-75.57366180419922,simesa
provenza,7200000,150.0,3,3,2,3145590000,https://www.metrocuadrado.com/inmueble/arriendo-apartamento-medellin-la-florida-3-habitaciones-3-banos-2-garajes/20033-M5763001,Apartamento,6.20714646,-75.5656325,la florida
el poblado,5200000,150.0,3,2,1,6044485859,https://www.metrocuadrado.com/inmueble/arriendo-apartamento-medellin-patio-bonito-3-habitaciones-2-banos-1-garajes/687-M4715526,Apartamento,6.2033491134643555,-75.573974609375,patio bonito
